SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	7	-15.391956299999999	-39.5644283	2019-08-01
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-01
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-30
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-30
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-31
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-14
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-31
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-31
Turdus flavipes	1	-15.7908495	-40.526622499999995	2019-10-02
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-01
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-31
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-10-01
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-30
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-15
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-30
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-30
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-10-31
Turdus flavipes	1	-14.656515400000002	-40.2305828	2019-11-18
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-01-28
Turdus flavipes	1	-15.39281	-39.5636	2020-01-28
Turdus flavipes	12	-15.390467000000001	-39.563351000000004	2020-01-27
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-01-26
Turdus flavipes	12	-15.390467000000001	-39.563351000000004	2020-01-27
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-01-26
Turdus flavipes	1	-15.39281	-39.5636	2020-01-29
Turdus flavipes	12	-15.391956299999999	-39.5644283	2020-01-27
Turdus flavipes	6	-15.391956299999999	-39.5644283	2020-01-17
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-01-28
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-01-26
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-01-28
Turdus flavipes	7	-15.391956299999999	-39.5644283	2020-01-18
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-01-26
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-01-29
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-01-28
Turdus flavipes	12	-15.391956299999999	-39.5644283	2020-01-27
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-09
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-06
Turdus flavipes	1	-15.391956299999999	-39.5644283	2020-02-20
Turdus flavipes	14	-15.391956299999999	-39.5644283	2020-02-08
Turdus flavipes	5	-15.391956299999999	-39.5644283	2020-02-07
Turdus flavipes	5	-15.391956299999999	-39.5644283	2020-02-07
Turdus flavipes	5	-15.391956299999999	-39.5644283	2020-02-07
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-06
Turdus flavipes	1	-14.5246825	-40.3648205	2020-02-28
Turdus flavipes	4	-14.667287900000002	-40.2199659	2020-02-22
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-09
Turdus flavipes	14	-15.391956299999999	-39.5644283	2020-02-08
Turdus flavipes	2	-14.661197400000002	-40.1415893	2020-02-15
Turdus flavipes	5	-15.391956299999999	-39.5644283	2020-02-07
Turdus flavipes	1	-14.5246825	-40.3648205	2020-02-28
Turdus flavipes	1	-14.5246825	-40.3648205	2020-02-28
Turdus flavipes	14	-15.391956299999999	-39.5644283	2020-02-08
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-09
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-06
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-09
Turdus flavipes	2	-15.391956299999999	-39.5644283	2020-02-06
Turdus flavipes	14	-15.391956299999999	-39.5644283	2020-02-08
Turdus flavipes	1	-14.631534900000002	-40.1488591	2020-04-25
Turdus flavipes	1	-14.2795221	-38.9945555	2020-05-23
Turdus flavipes	1	-14.667287900000002	-40.2199659	2020-05-17
Turdus flavipes	1	-14.553292	-40.267813000000004	2020-05-14
Turdus flavipes	1	-14.617842999999999	-40.3354055	2020-07-04
